type,prompt,choice1,choice2,choice3,choice4,choice5,choice6,correct_choices,points,difficulty,tags
MULTIPLE_CHOICE,"The 'dispositive portion' (or fallo) of a court decision refers to:","The lengthy discussion of facts and evidence","The part of the decision that states the actual judgment or order of the court, which is what is enforced","The list of exhibits presented at trial","The dissenting opinion of a minority justice",,,2,2,MEDIUM,legal-writing
TRUE_FALSE,"Active voice is generally preferred over passive voice in legal writing because it tends to make sentences clearer and more direct about who is doing what.","True","False",,,,,1,1,EASY,legal-writing
MULTIPLE_CHOICE,"Checking whether a cited case is still 'good law' (i.e., has not been overturned, reversed, or abandoned by a later ruling) is a core purpose of:","Formatting a citation correctly","Legal citation-checking/verification during legal research","Choosing a font for the memorandum","Filing a motion for extension",,,2,2,MEDIUM,legal-writing
MULTIPLE_CHOICE,"A verification and certification against forum shopping, commonly attached to pleadings, primarily serves to:","Attest that the allegations are true based on the pleader's own knowledge and that no similar case has been filed elsewhere","Waive the client's right to appeal","Guarantee a favorable outcome","Replace the need for a lawyer's signature",,,1,2,MEDIUM,legal-writing
MULTIPLE_CHOICE,"Redundant legal doublets such as 'cease and desist' or 'null and void' are often flagged in modern legal-writing style guides because they:","Are legally required in every jurisdiction","Are historical relics that can usually be simplified without losing legal meaning, improving clarity","Increase the enforceability of a contract","Are the only acceptable way to express those concepts",,,2,2,MEDIUM,legal-writing
MULTIPLE_RESPONSE,"Which of the following are elements a complete case citation typically includes? (select all that apply)","The case name (parties)","The docket or reference number (e.g., G.R. No.)","The date of the decision","The reporter or volume where the case is published","The writer's personal opinion of the ruling",,"1,2,3,4",2,MEDIUM,legal-writing
MULTIPLE_CHOICE,"Compared to the basic IRAC structure, the CREAC framework (Conclusion, Rule, Explanation, Application, Conclusion) primarily adds:","Nothing — it is identical to IRAC","An upfront conclusion and a separate rule-explanation step, useful for more complex legal analysis","A requirement to omit the facts","A mandatory minimum word count",,,2,3,HARD,legal-writing
SHORT_ANSWER,"Why is conciseness particularly important in the 'Brief Answer' section of a legal memorandum?",,,,,,,,3,MEDIUM,legal-writing
MULTIPLE_CHOICE,"The primary purpose of thoroughly proofreading and editing a legal document before filing or submission is to:","Increase its page count","Catch factual errors, unclear language, and citation mistakes that could undermine the document's credibility or legal effect","Make it harder for opposing counsel to read","Satisfy a purely aesthetic preference",,,2,1,EASY,legal-writing
ESSAY,"Discuss the role of stare decisis in the Philippine legal system, and explain the circumstances under which the Supreme Court may depart from its own prior rulings.",,,,,,,,10,HARD,legal-method
ESSAY,"Explain the IRAC (Issue, Rule, Application, Conclusion) framework and discuss why it is considered a foundational tool for legal analysis and legal writing.",,,,,,,,10,MEDIUM,legal-writing
ESSAY,"Discuss at least three canons of statutory construction covered in Legal Method, explain what each one means, and illustrate how a court might apply each to resolve an ambiguous provision of law.",,,,,,,,10,HARD,legal-method
ESSAY,"Compare and contrast objective/predictive legal writing (such as an office memorandum) with persuasive legal writing (such as an appellate brief), discussing how their purpose shapes differences in tone, structure, and treatment of unfavorable facts or authority.",,,,,,,,10,HARD,legal-writing
